name,neighbourhood,latitude,longitude,ndvi,built_up_density_pct,distance_to_green_space_m,elevation_m,risk_score,risk_category
Site 47,Tema,5.551512574995629,-0.218831018277485,0.181,75.4,96.4,83.9,76.7,Severe
Site 48,Adabraka,5.679494942830921,-0.11566073065305008,0.368,28.3,890.8,50.9,49.1,Moderate
Site 49,Madina,5.729606109789997,-0.18099546765780836,0.392,62.9,587.7,62.7,58.9,High
Site 50,Airport Residential,5.59869645931526,-0.20602792871355766,0.066,17.3,1183.8,83.0,57.8,High
Site 51,Dzorwulu,5.735406908959261,-0.20138093035749116,0.773,14.4,587.4,63.7,22.9,Low
Site 52,Osu,5.562053478057912,-0.18513830789850333,0.598,55.2,1529.4,13.7,52.2,Moderate
Site 53,Labadi,5.736887205361103,-0.10374586404073577,0.746,56.0,642.2,51.9,40.7,Moderate
Site 54,Cantonments,5.620324537447927,-0.07697882776494139,0.705,64.2,658.5,54.6,46.1,Moderate
Site 55,Madina,5.570284165689843,-0.06116632837401792,0.438,71.7,1674.2,38.2,67.2,High
Site 56,East Legon,5.647174351837265,-0.10327415343617621,0.73,92.9,413.3,66.3,57.6,High
Site 57,Spintex,5.601355313544102,-0.2211482760629968,-0.02,53.9,115.1,84.1,77.1,Severe
Site 58,Achimota,5.606974580392384,-0.12796632347836445,0.076,37.5,23.4,83.3,57.0,High
Site 59,Cantonments,5.611457992985257,-0.190599218986152,-0.059,77.6,1125.6,40.6,90.9,Severe
Site 60,Kaneshie,5.7106051795665325,-0.2363323444884872,0.193,33.0,774.7,10.2,60.6,High
Site 61,Spintex,5.657832255335051,-0.08978210514351934,0.25,47.3,974.1,88.6,60.8,High
Site 62,Spintex,5.6122615398312,-0.29039341275941877,0.144,16.7,191.6,75.5,54.8,Moderate
Site 63,Adabraka,5.672066756662184,-0.07455950196614411,0.646,12.2,117.3,11.2,28.8,Low
Site 64,Achimota,5.693230134844638,-0.18463063384381645,0.221,91.8,11.7,82.9,75.7,Severe
Site 65,Airport Residential,5.604524800146707,-0.14069963079792988,0.153,81.1,345.3,78.3,75.4,Severe
Site 66,Airport Residential,5.63270982030507,-0.1351615194485543,0.388,69.2,713.1,46.7,66.2,High
Site 67,Dansoman,5.574377218667389,-0.0762205648233659,0.027,44.8,398.4,53.2,69.7,High
Site 68,Tema,5.586229869906936,-0.14083257945819816,0.622,24.7,460.3,35.9,48.6,Moderate
Site 69,Teshie,5.686223570792997,-0.14651660380998455,-0.033,23.3,1876.0,4.9,69.2,High
Site 70,Spintex,5.586287669539125,-0.28333698985982747,0.788,31.3,342.5,30.2,32.2,Moderate
Site 71,Dansoman,5.655032676733412,-0.17039799451369897,0.595,56.7,577.2,72.3,47.2,Moderate
Site 72,Kaneshie,5.691809252344487,-0.26245774979573955,0.079,70.7,1224.7,0.4,79.3,Severe
Site 73,Tema,5.571375384618949,-0.1156415578196286,-0.095,66.1,404.1,30.0,79.5,Severe
Site 74,Dzorwulu,5.663462443925781,-0.17194451979683137,0.634,33.8,778.5,35.8,47.5,Moderate
Site 75,Spintex,5.601312556740273,-0.12994305519791166,0.536,91.2,1586.5,48.4,75.1,Severe
Site 76,Madina,5.742585375047516,-0.28958177484940395,0.556,72.7,2389.0,82.8,61.3,High
Site 77,Achimota,5.646709129343985,-0.27880199598854916,0.594,57.1,127.3,31.2,46.8,Moderate
Site 78,Teshie,5.7111985099550315,-0.12091915298432943,-0.033,62.0,2089.3,31.2,86.7,Severe
Site 79,East Legon,5.660045308431252,-0.28197891600033165,0.223,45.7,542.0,66.4,58.7,High
Site 80,Adabraka,5.558682506570964,-0.28218581805868537,0.004,31.1,239.0,40.7,67.2,High
Site 81,Achimota,5.6766302751188045,-0.2969728811912781,0.677,40.3,491.7,20.2,43.8,Moderate
Site 82,Dansoman,5.740280668441331,-0.06087465042512996,0.461,74.4,3130.9,40.7,67.0,High
Site 83,Osu,5.670322364029266,-0.11562291013524825,0.198,11.2,542.8,12.7,58.7,High
Site 84,Nima,5.713837771885358,-0.21168714787448395,-0.043,19.9,318.9,15.9,71.3,High
Site 85,Teshie,5.726841292669682,-0.22586610467808618,0.18,13.9,802.8,44.9,51.2,Moderate
Site 86,Teshie,5.595615954389786,-0.2125741925635376,0.193,13.5,219.7,37.7,49.4,Moderate
Site 87,Kaneshie,5.592408967981645,-0.10633661720470453,0.557,82.7,63.1,82.3,59.0,High
Site 88,Adabraka,5.672196197770198,-0.1346573472323964,0.474,69.8,110.4,32.6,60.6,High
Site 89,Labadi,5.632205693961341,-0.253701108033133,0.698,50.3,109.6,52.3,45.1,Moderate
Site 90,Airport Residential,5.717972260573344,-0.2564726661664789,0.325,18.3,131.8,56.9,54.1,Moderate
Site 91,Airport Residential,5.730004624679602,-0.27540108757165066,0.008,51.8,119.6,1.2,72.5,High
Site 92,Dzorwulu,5.620684275860543,-0.13492432007466545,0.542,50.2,819.3,59.7,48.0,Moderate
Site 93,Osu,5.597374111794896,-0.108906834444566,0.585,24.7,160.6,16.0,34.6,Moderate
Site 94,Madina,5.706105103048772,-0.23373839291874898,0.405,46.9,339.3,86.5,49.3,Moderate
Site 95,Kaneshie,5.6049612071096275,-0.29476375974227176,0.594,43.9,1816.8,13.4,53.1,Moderate
Site 96,Madina,5.714522863702736,-0.2794570831308931,0.344,62.3,513.9,37.3,70.4,High
Site 97,East Legon,5.634747650729753,-0.05803499128874237,0.37,64.0,881.0,7.7,63.6,High
Site 98,Tema,5.683509979858294,-0.22613880563064492,0.285,13.9,151.3,89.7,45.5,Moderate
Site 99,Achimota,5.569107062766934,-0.10769421304046659,-0.077,41.8,170.8,45.2,71.1,High
Site 100,Dzorwulu,5.674771864935314,-0.14383410778643405,-0.003,63.2,33.4,53.6,79.4,Severe
Site 101,Dzorwulu,5.640353535747446,-0.204515090086776,-0.072,52.8,148.0,6.0,86.7,Severe
Site 102,Nima,5.667321692635094,-0.2485781844511112,0.473,82.8,261.2,67.5,60.6,High
Site 103,Cantonments,5.583602841548973,-0.2696533954601484,0.183,66.0,155.8,18.9,68.5,High
Site 104,Labadi,5.697374748988836,-0.14624675799028333,0.358,23.8,74.3,80.8,49.5,Moderate
Site 105,Dansoman,5.722559415508646,-0.106341554840553,0.717,16.0,102.8,18.5,34.1,Moderate
Site 106,Spintex,5.593347960018155,-0.13902393661471732,0.124,64.6,494.1,17.2,81.1,Severe
Site 107,Cantonments,5.5691429111040325,-0.1674244666877104,0.269,12.3,184.9,3.3,51.4,Moderate
Site 108,Tema,5.554727717209267,-0.28951219414209095,0.58,59.8,362.4,42.5,50.6,Moderate
Site 109,Cantonments,5.678394300088653,-0.05787780560140404,0.106,89.9,560.0,50.8,84.3,Severe
Site 110,Kaneshie,5.671418807217756,-0.10032145208635634,-0.031,58.9,938.0,5.9,84.7,Severe
Site 111,Spintex,5.659339482542814,-0.2267944908247588,0.161,43.0,32.1,69.8,63.5,High
Site 112,Teshie,5.596389419223195,-0.05500741766028733,0.045,64.7,1285.2,40.8,81.0,Severe
Site 113,Osu,5.628181199181103,-0.14952960259091946,0.737,49.0,790.9,47.2,47.7,Moderate
Site 114,Airport Residential,5.668895267037234,-0.15439433544818837,0.627,56.4,68.2,39.7,52.6,Moderate
Site 115,East Legon,5.649353371771833,-0.11298170514261696,0.47,90.0,1654.5,36.1,78.0,Severe
Site 116,Madina,5.747557104042977,-0.0970575529774656,0.684,42.8,2029.4,50.4,50.8,Moderate
Site 117,Nima,5.577287950511346,-0.13588034816712433,0.623,91.7,50.4,14.0,61.0,High
Site 118,Kaneshie,5.689028910809519,-0.26797606340845,0.068,87.0,259.3,16.4,83.5,Severe
Site 119,Osu,5.630863753620858,-0.2154331235013754,0.703,26.6,1312.7,77.6,42.4,Moderate
Site 120,Teshie,5.635639922985123,-0.06797908991848756,0.385,15.9,1103.5,85.2,42.0,Moderate
Site 121,Dansoman,5.693519553131635,-0.243846097039037,0.627,18.6,163.2,33.6,36.9,Moderate
Site 122,East Legon,5.688487230264874,-0.20695824404062166,0.706,11.5,187.9,24.4,28.7,Low
Site 123,Kaneshie,5.748251198740437,-0.191980779263951,0.186,18.0,370.2,58.0,52.6,Moderate
Site 124,Teshie,5.575678857890825,-0.19014875257638694,-0.001,68.1,530.1,36.8,84.3,Severe
Site 125,Nima,5.570821929876833,-0.1467651043763686,0.105,16.1,770.4,2.3,60.1,High
Site 126,Airport Residential,5.694867763425748,-0.06423104056382309,0.284,37.1,368.3,14.1,57.6,High
Site 127,Dzorwulu,5.665677383401282,-0.23982682204187375,0.636,81.8,496.7,64.4,51.5,Moderate
Site 128,Airport Residential,5.604832133311961,-0.2696246559247705,0.675,12.0,1101.0,59.3,36.6,Moderate
Site 129,Kaneshie,5.565883873797797,-0.25063237753501566,-0.094,79.2,29.9,2.4,89.1,Severe
Site 130,Airport Residential,5.567131649919286,-0.07826877494768261,0.36,34.0,232.7,20.0,61.1,High
Site 131,Osu,5.728838174932823,-0.13854729683619849,0.276,20.0,999.6,20.8,52.7,Moderate
Site 132,Osu,5.588373464943748,-0.22852330269020996,0.1,69.2,1804.6,60.5,80.3,Severe
Site 133,Madina,5.614674312423104,-0.09601326525784568,0.008,63.5,573.4,1.8,80.1,Severe
Site 134,Kaneshie,5.595331280445397,-0.08465750090914098,0.204,84.6,607.6,9.4,84.7,Severe
Site 135,Madina,5.6209992611663875,-0.08837141532743048,0.749,72.5,90.7,72.0,46.8,Moderate
Site 136,Kaneshie,5.563884768549219,-0.07026836659011138,0.191,78.3,474.5,16.1,77.0,Severe
Site 137,Dzorwulu,5.653811958181654,-0.2369397449566596,0.367,34.0,608.5,58.7,54.1,Moderate
Site 138,Dzorwulu,5.563522512718443,-0.11123951781343042,0.533,25.1,222.2,21.4,43.0,Moderate
Site 139,Dansoman,5.710071301564472,-0.184865125681465,0.227,73.8,250.9,8.9,70.5,High
Site 140,Kaneshie,5.596742416382087,-0.0895003617774846,0.775,78.6,378.9,21.9,52.7,Moderate
Site 141,Nima,5.658002382920902,-0.11787733070959669,0.766,94.2,16.2,65.0,58.4,High
Site 142,Tema,5.726015817512292,-0.10588813837506883,0.127,45.1,311.0,77.0,59.0,High
Site 143,East Legon,5.680175473809439,-0.1359595405797321,0.348,41.6,190.0,74.7,53.2,Moderate
Site 144,Adabraka,5.656591557310267,-0.2556428076325733,0.171,76.0,317.4,35.7,71.4,High
Site 145,Spintex,5.614866750623075,-0.1637432702757654,0.156,39.0,102.1,60.1,64.6,High
Site 146,Adabraka,5.616600382611639,-0.05383256511887294,-0.067,89.1,1769.7,18.4,88.9,Severe
Site 147,Teshie,5.683897391039638,-0.06565298337572026,0.449,83.0,720.3,26.4,65.4,High
Site 148,Dzorwulu,5.748827872244234,-0.28920656605074707,0.352,46.5,909.3,80.7,58.3,High
Site 149,Airport Residential,5.682367837969876,-0.2587962960676407,-0.054,73.8,1245.4,1.2,94.2,Severe
Site 150,East Legon,5.6615566834740045,-0.26706780663635954,0.151,74.1,552.0,7.7,76.5,Severe
Site 151,Cantonments,5.696130102047849,-0.11850502250367612,0.717,18.8,72.7,18.7,30.0,Moderate
Site 152,Tema,5.643041122456744,-0.09555366753576372,0.116,86.7,616.2,2.4,90.6,Severe
Site 153,Osu,5.562028468520157,-0.246622158422332,0.03,52.9,707.1,16.3,68.5,High
Site 154,Achimota,5.662459363175582,-0.17353682676204274,0.341,80.2,1094.6,52.5,62.4,High
Site 155,Labadi,5.741525056901076,-0.08982424299719999,0.787,37.2,452.0,37.9,38.2,Moderate
Site 156,Dansoman,5.585060588471531,-0.11679961380843734,0.118,86.1,109.2,80.3,74.8,High
Site 157,Airport Residential,5.688000978164133,-0.16444069862703792,0.505,43.1,267.0,73.6,43.2,Moderate
Site 158,Airport Residential,5.590186737731811,-0.15241307738530677,0.585,10.9,360.9,30.8,38.1,Moderate
Site 159,Nima,5.657165536894616,-0.17290986327093,0.114,87.0,830.6,23.3,84.0,Severe
Site 160,Airport Residential,5.569335289929343,-0.22561288717029485,0.555,17.8,676.6,34.2,37.7,Moderate
Site 161,Osu,5.640074187251637,-0.15874450178524596,0.231,37.1,352.2,53.1,52.4,Moderate
Site 162,Osu,5.701232665779049,-0.12777867448747732,0.469,90.8,3445.0,24.1,84.1,Severe
Site 163,Labadi,5.6195143048477965,-0.08166927103479807,0.47,90.8,744.7,56.2,70.7,High
Site 164,Spintex,5.682982344897444,-0.14092716150518797,0.382,58.7,216.6,36.8,58.9,High
Site 165,Kaneshie,5.709089992157946,-0.10971961573921049,-0.019,63.7,85.9,49.7,83.3,Severe
Site 166,Cantonments,5.735435563895891,-0.25998209126135674,0.652,48.1,132.7,39.3,40.1,Moderate
Site 167,East Legon,5.596928416371091,-0.18461063139505252,0.189,34.9,225.8,26.5,53.2,Moderate
Site 168,Airport Residential,5.629863183161861,-0.29766709504322664,0.068,37.9,140.1,85.4,59.1,High
Site 169,Adabraka,5.580483202666083,-0.23833028386959423,-0.063,67.2,165.2,68.7,78.1,Severe
Site 170,Madina,5.748496700431675,-0.11838457122174878,0.432,74.0,268.5,12.6,65.0,High
Site 171,Nima,5.735400193584859,-0.052047512162659126,0.51,77.3,152.3,78.2,57.4,High
Site 172,Nima,5.657991426056112,-0.27520547510319604,-0.085,77.1,1816.6,43.9,91.9,Severe
Site 173,Spintex,5.718406658875284,-0.19962642103467793,0.361,17.8,66.9,80.5,38.0,Moderate
Site 174,Adabraka,5.654191595454408,-0.09998225782521011,0.104,52.0,594.7,72.0,73.6,High
Site 175,Teshie,5.674717137600552,-0.24899109134277528,0.481,14.9,422.6,38.3,40.4,Moderate
Site 176,Adabraka,5.567824886423203,-0.16122876267442843,0.057,56.7,3230.9,2.0,89.9,Severe
Site 177,Tema,5.701054084099361,-0.11673217599258129,0.522,47.5,95.1,24.2,51.3,Moderate
Site 178,Teshie,5.575542696727047,-0.14600363743495523,0.248,85.5,405.8,48.7,76.0,Severe
Site 179,Achimota,5.715213526050506,-0.2529938163461459,0.743,39.8,2791.2,57.0,49.8,Moderate
Site 180,Dzorwulu,5.706405617534077,-0.21115385782856513,0.024,20.0,1605.0,23.2,68.1,High
Site 181,Madina,5.691748939548595,-0.10405205387865069,0.207,22.2,1358.9,12.5,61.9,High
Site 182,Dzorwulu,5.5572320761049525,-0.16144337146699583,0.002,74.7,238.6,75.1,83.6,Severe
Site 183,Nima,5.610625671189066,-0.29869259661427183,0.732,62.5,149.9,88.6,44.6,Moderate
Site 184,Adabraka,5.602622513982168,-0.10975230999297653,0.69,18.6,883.6,47.3,37.9,Moderate
Site 185,Achimota,5.6220272814943035,-0.2911721612649402,0.132,17.1,2120.3,15.5,63.1,High
Site 186,Kaneshie,5.567528549352768,-0.11356655431719195,0.494,69.6,650.9,24.5,66.7,High
Site 187,Dansoman,5.737391564606212,-0.24937985995869064,0.635,16.2,678.2,1.7,35.2,Moderate
Site 188,East Legon,5.660760448142475,-0.06048162997015494,0.4,79.9,262.8,82.3,71.1,High
Site 189,Achimota,5.611104862131604,-0.20801481217447887,0.377,70.0,1174.0,10.6,68.4,High
Site 190,Spintex,5.629396303414857,-0.2182670959154802,0.118,16.9,165.7,51.9,48.6,Moderate
Site 191,Tema,5.639440508100967,-0.26277798741688885,-0.016,17.2,312.9,24.7,62.2,High
Site 192,East Legon,5.670118866672123,-0.22359894612744627,0.707,93.9,443.3,49.9,56.1,High
Site 193,Adabraka,5.6531358855392995,-0.08083730954294985,0.71,41.8,566.8,58.6,43.9,Moderate
Site 194,Cantonments,5.7338783946428835,-0.05091641559318816,0.47,41.5,222.1,74.7,45.3,Moderate
Site 195,Kaneshie,5.649392696581166,-0.2079226173732879,0.205,79.1,97.6,18.6,72.2,High
Site 196,Achimota,5.748431602964662,-0.18784734226136435,0.214,90.5,754.6,1.0,73.5,High
Site 197,Madina,5.720284991549019,-0.11948226544931573,0.553,93.8,272.5,12.3,64.4,High
Site 198,Adabraka,5.591702102871467,-0.07845105488373136,0.707,74.0,696.4,81.0,41.7,Moderate
Site 199,Airport Residential,5.736119042928784,-0.15173891645330395,0.698,42.0,134.1,78.7,32.0,Moderate
Site 200,Osu,5.573273279577095,-0.20211857545554265,0.602,17.1,524.9,53.8,39.4,Moderate
Site 201,Achimota,5.7134899416982385,-0.19684453978784405,0.478,76.1,608.4,54.0,65.4,High
Site 202,Madina,5.626124658695316,-0.12609546337579827,-0.024,57.5,42.6,59.9,75.0,Severe
Site 203,Tema,5.725594864089014,-0.29919543409893035,0.045,46.1,328.3,15.8,66.0,High
Site 204,Dansoman,5.72361133802149,-0.14510266563503982,0.709,87.0,115.5,82.3,53.3,Moderate
Site 205,Airport Residential,5.711185080023524,-0.21112674738966064,0.446,19.5,52.4,37.7,42.3,Moderate
Site 206,Dzorwulu,5.7080060872614125,-0.10145066718072893,-0.092,51.9,3681.0,34.5,85.2,Severe
Site 207,Dansoman,5.610935827819608,-0.27675234004421695,-0.009,11.0,311.3,46.7,64.1,High
Site 208,Dzorwulu,5.56618385661025,-0.15294943326290236,0.497,49.8,1328.1,4.2,61.2,High
Site 209,Adabraka,5.630596035753032,-0.17975677752846905,-0.095,14.8,235.1,15.0,63.3,High
Site 210,Osu,5.584704902997301,-0.13941861852369314,0.045,20.1,915.3,66.4,60.7,High
Site 211,Achimota,5.688990217780493,-0.28378660137925793,0.394,20.0,1142.5,7.5,51.3,Moderate
Site 212,Achimota,5.619219945307557,-0.15500405314296717,0.523,65.2,724.4,54.3,48.9,Moderate
Site 213,Cantonments,5.745122040171983,-0.15962885301011906,0.487,73.4,510.3,22.1,61.2,High
Site 214,Nima,5.678194415469067,-0.15983497639595726,0.102,59.6,424.6,35.0,69.0,High
Site 215,Cantonments,5.714496112726872,-0.1491280833508863,0.541,91.8,343.2,26.0,61.6,High
Site 216,Spintex,5.576504934548369,-0.13088301569340943,0.114,41.9,2122.0,32.0,70.9,High
Site 217,Adabraka,5.722402896454525,-0.09875275007980755,0.193,34.3,1420.5,64.7,68.9,High
Site 218,Adabraka,5.734551438102679,-0.2325448199679464,0.572,83.8,2682.5,26.7,73.4,High
Site 219,Osu,5.647412383763787,-0.09373764745498447,0.485,29.0,106.2,51.0,41.4,Moderate
Site 220,Cantonments,5.671250587550196,-0.17543607943413658,0.664,91.9,1050.0,42.8,64.9,High
Site 221,Madina,5.702961960180599,-0.2807354302164172,0.492,11.0,2228.9,59.7,50.7,Moderate
Site 222,Dzorwulu,5.584967725452082,-0.2853622676890052,0.411,92.4,160.0,84.3,71.0,High
Site 223,Madina,5.650513215292689,-0.2164404203259848,-0.016,13.7,55.0,65.9,57.6,High
Site 224,Osu,5.629732605554462,-0.1037757557221331,0.231,85.7,1081.1,19.3,76.5,Severe
Site 225,Kaneshie,5.57927479843245,-0.12307976631477105,0.139,54.9,683.5,2.8,74.0,High
Site 226,Nima,5.6235068844583065,-0.10284625883189838,0.12,94.4,1475.3,23.6,89.6,Severe
Site 227,Madina,5.563634461877099,-0.17068273588959765,0.776,16.3,120.4,53.6,31.1,Moderate
Site 228,Teshie,5.555162381389898,-0.18995025051112735,0.254,57.1,1268.8,4.6,72.2,High
Site 229,Spintex,5.577033257830965,-0.263136868323429,0.703,92.4,180.1,44.7,61.9,High
Site 230,East Legon,5.742623022317835,-0.2179518115976721,0.468,54.5,143.0,53.7,51.1,Moderate
Site 231,Osu,5.659905907179003,-0.19149515845653117,0.615,63.5,143.6,30.1,57.0,High
Site 232,Osu,5.743164432230644,-0.2778498925800957,0.352,69.1,1348.1,69.4,67.8,High
Site 233,Labadi,5.6364995756660266,-0.24484701182219717,0.419,48.6,875.4,9.6,66.6,High
Site 234,Dzorwulu,5.612363226617052,-0.1504436764840653,0.343,63.3,592.3,6.8,62.7,High
Site 235,Spintex,5.651228372568049,-0.11608422144020253,0.076,59.7,355.6,65.5,77.9,Severe
Site 236,Airport Residential,5.637902337726582,-0.05041312215176258,0.55,86.6,1677.8,44.6,68.6,High
Site 237,Airport Residential,5.571132936852349,-0.06672166716411057,0.153,13.9,398.7,62.0,49.6,Moderate
Site 238,Teshie,5.678165262938041,-0.1393587001162021,-0.078,33.9,1356.9,39.1,71.5,High
Site 239,Cantonments,5.59320763650192,-0.194687986676482,0.481,90.8,462.6,22.2,67.0,High
Site 240,Spintex,5.673917590979566,-0.1409556588229418,0.059,85.7,378.5,73.7,82.1,Severe
Site 241,Kaneshie,5.680040218479631,-0.10358709547994199,0.746,48.7,496.9,71.9,42.7,Moderate
Site 242,Adabraka,5.58040497062573,-0.27041595226915316,0.759,62.7,286.9,62.5,42.3,Moderate
Site 243,Adabraka,5.562269925422133,-0.19752377757592793,0.723,33.6,1101.4,24.5,40.9,Moderate
Site 244,Dansoman,5.706152317213688,-0.09004942859109569,0.233,26.0,558.9,53.1,62.9,High
Site 245,Dzorwulu,5.641960084753864,-0.204041762016739,-0.086,49.4,211.4,32.5,81.9,Severe
Site 246,Teshie,5.561632759101095,-0.15703193219320336,0.735,40.0,1838.7,8.2,48.3,Moderate
Site 247,Osu,5.748973263433953,-0.15305765978445043,0.285,59.6,387.5,82.6,62.0,High
Site 248,Teshie,5.561556112199273,-0.2538809367165902,0.77,16.6,627.4,12.3,32.4,Moderate
Site 249,Teshie,5.68900704577171,-0.2094411395869279,0.767,92.8,1895.6,85.5,62.6,High
Site 250,Tema,5.746735785052683,-0.21637217781451695,0.668,93.8,783.0,40.1,58.2,High
